伝票日付,売上日付,支払日付,業者CD,業者名,伝票区分CD,伝票区分名,品名CD,品名,正味重量,数量,単位CD,単位名,単価,金額,受入番号,集計項目CD,集計項目
2025-03-31,2025/03/31(月),2025/03/31(月),4110,大野工業,1,売上,21,軽量物系B(ｸﾞﾗｽｳｰﾙ),80,80,3,kg,80,"6,400",46631,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),4164,ｴｰｽ事務機,1,売上,2,混合廃棄物B,270,270,3,kg,70,"18,900",46677,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4164,ｴｰｽ事務機,1,売上,21,軽量物系B(ｸﾞﾗｽｳｰﾙ),30,30,3,kg,80,"2,400",46677,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4260,市ノ沢商店,1,売上,1,混合廃棄物A,220,220,3,kg,65,"14,300",46751,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4260,市ノ沢商店,1,売上,1,混合廃棄物A,730,730,3,kg,65,"47,450",46616,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4260,市ノ沢商店,1,売上,29,木くず,40,40,3,kg,35,"1,400",46616,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4260,市ノ沢商店,1,売上,29,木くず,190,190,3,kg,35,"6,650",46751,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4260,市ノ沢商店,1,売上,102,ﾏﾆﾌｪｽﾄ,,1,11,枚,50,50,46616,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4260,市ノ沢商店,1,売上,102,ﾏﾆﾌｪｽﾄ,,1,11,枚,50,50,46751,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4418,ﾃﾙｳｪﾙ東日本,1,売上,53,金属くず,390,390,3,kg,15,"5,850",46656,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),4418,ﾃﾙｳｪﾙ東日本,1,売上,171,選別(ｷｬﾋﾞﾈｯﾄ),650,650,3,kg,65,"42,250",46656,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),4574,栗田建業,1,売上,2,混合廃棄物B,440,440,3,kg,70,"30,800",46731,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),4766,JR東日本環境ｱｸｾｽ,1,売上,1,混合廃棄物A,"2,230","2,230",3,kg,55,"122,650",46622,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),5011,ﾊﾙﾊﾟｴﾔ,1,売上,1,混合廃棄物A,230,230,3,kg,65,"14,950",46697,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5011,ﾊﾙﾊﾟｴﾔ,1,売上,1,混合廃棄物A,760,760,3,kg,65,"49,400",46640,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5011,ﾊﾙﾊﾟｴﾔ,1,売上,5,混合廃棄物(布団),50,50,3,kg,75,"3,750",46697,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5011,ﾊﾙﾊﾟｴﾔ,1,売上,29,木くず,50,50,3,kg,35,"1,750",46697,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5011,ﾊﾙﾊﾟｴﾔ,1,売上,29,木くず,290,290,3,kg,35,"10,150",46640,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5011,ﾊﾙﾊﾟｴﾔ,1,売上,492,混合廃棄物（羽毛物）,40,40,3,kg,250,"10,000",46697,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5112,RM企画　中山十四夏津,1,売上,1,混合廃棄物A,820,820,3,kg,65,"53,300",46734,2.0,B
2025-03-31,2025/03/31(月),2025/03/31(月),5112,RM企画　中山十四夏津,1,売上,29,木くず,170,170,3,kg,35,"5,950",46734,2.0,B
2025-03-31,2025/03/31(月),2025/03/31(月),6345,ｸﾛｽｶﾝﾊﾟﾆｰ,1,売上,13,混合廃棄物(ｿﾌｧｰ),30,30,3,kg,100,"3,000",46627,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),4110,大野工業,1,売上,21,軽量物系B(ｸﾞﾗｽｳｰﾙ),60,60,3,kg,80,"4,800",46695,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),6345,ｸﾛｽｶﾝﾊﾟﾆｰ,1,売上,29,木くず,20,20,3,kg,35,700,46627,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6509,ﾅｲﾃｯｸｽ,1,売上,1,混合廃棄物A,370,370,3,kg,65,"24,050",46638,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8282,宇都宮工業,1,売上,14,混合廃棄物,"1,820","1,820",3,kg,65,"118,300",46650,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),8282,宇都宮工業,1,売上,349,運搬費(4ｔｺﾝﾃﾅ),,1,7,台,"23,000","23,000",46650,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),8290,日本通運㈱,1,売上,29,木くず,570,570,3,kg,35,"19,950",46657,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8290,日本通運㈱,1,売上,29,木くず,830,830,3,kg,35,"29,050",46715,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8290,日本通運㈱,1,売上,38,廃ﾌﾟﾗｽﾁｯｸ類,560,560,3,kg,60,"33,600",46715,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8290,日本通運㈱,1,売上,38,廃ﾌﾟﾗｽﾁｯｸ類,580,580,3,kg,60,"34,800",46657,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8290,日本通運㈱,1,売上,109,運搬費,,1,7,台,"21,000","21,000",46657,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8290,日本通運㈱,1,売上,109,運搬費,,1,7,台,"21,000","21,000",46715,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8309,ﾌｨﾌﾞｲﾝﾄﾗﾛｼﾞｽﾃｨｸｽ,1,売上,14,混合廃棄物,40,0.5,2,m3,"8,000","4,000",46664,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),7996,ｼﾞｪｲｼﾃｨｰ,1,売上,30,選別,460,460,3,kg,65,"29,900",46693,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8309,ﾌｨﾌﾞｲﾝﾄﾗﾛｼﾞｽﾃｨｸｽ,1,売上,30,選別,230,0.5,2,m3,0,0,46664,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),8326,ﾘﾝﾅｲ,1,売上,1,混合廃棄物A,970,970,3,kg,65,"63,050",46746,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),8343,JANSTAR,1,売上,2,混合廃棄物B,380,380,3,kg,70,"26,600",46654,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),8798,TSI,1,売上,1,混合廃棄物A,590,590,3,kg,65,"38,350",46686,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),8798,TSI,1,売上,1,混合廃棄物A,"1,110","1,110",3,kg,65,"72,150",46748,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),8798,TSI,1,売上,29,木くず,580,580,3,kg,35,"20,300",46686,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),9001,Goodwanna,1,売上,2,混合廃棄物B,130,130,3,kg,70,"9,100",46749,,
2025-03-31,2025/03/31(月),2025/03/31(月),9001,Goodwanna,1,売上,29,木くず,50,50,3,kg,35,"1,750",46749,,
2025-03-31,2025/03/31(月),2025/03/31(月),9026,ﾚｱﾘﾅ,1,売上,1,混合廃棄物A,10,10,3,kg,58,580,46727,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),9026,ﾚｱﾘﾅ,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,810,810,3,kg,24.5,"19,845",46727,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),8309,ﾌｨﾌﾞｲﾝﾄﾗﾛｼﾞｽﾃｨｸｽ,1,売上,30,選別,300,0.5,2,m3,0,0,46708,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),7996,ｼﾞｪｲｼﾃｨｰ,1,売上,1,混合廃棄物A,610,610,3,kg,54,"32,940",46693,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),7889,ｳｲﾝﾌｧｰﾏ,1,売上,1,混合廃棄物A,850,850,3,kg,65,"55,250",46684,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),7792,二幸産業東京第二支社,1,売上,43,ﾀｲﾙｶｰﾍﾟｯﾄ,"3,480","3,480",3,kg,55,"191,400",46682,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6509,ﾅｲﾃｯｸｽ,1,売上,30,選別,"1,220","1,220",3,kg,70,"85,400",46701,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),6538,ﾃｸﾉ菱和,1,売上,1,混合廃棄物A,390,390,3,kg,65,"25,350",46618,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),6538,ﾃｸﾉ菱和,1,売上,26,石膏ﾎﾞｰﾄﾞC,10,10,3,kg,80,800,46618,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),6576,ﾗﾝﾄﾞﾏｯｸ,1,売上,1,混合廃棄物A,430,430,3,kg,60,"25,800",46688,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6586,WIT,1,売上,1,混合廃棄物A,440,440,3,kg,65,"28,600",46641,2.0,B（残置）
