伝票日付,売上日付,支払日付,業者CD,業者名,伝票区分CD,伝票区分名,品名CD,品名,正味重量,数量,単位CD,単位名,単価,金額,受入番号,集計項目CD,集計項目
2025-03-31,2025/03/31(月),2025/03/31(月),911,Free Style,1,売上,6,混合廃棄物(壁紙・ｸﾛｽ),520,520,3,kg,75,"39,000",46717,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),911,Free Style,1,売上,109,運搬費,,1,7,台,"18,000","18,000",46717,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),923,港区教育委員会事務局　学校教育部,1,売上,14,混合廃棄物,10,10,3,kg,45,450,46659,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),923,港区教育委員会事務局　学校教育部,1,売上,14,混合廃棄物,100,100,3,kg,45,"4,500",46675,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),923,港区教育委員会事務局　学校教育部,1,売上,14,混合廃棄物,110,110,3,kg,45,"4,950",46659,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),923,港区教育委員会事務局　学校教育部,1,売上,14,混合廃棄物,120,120,3,kg,45,"5,400",46675,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),923,港区教育委員会事務局　学校教育部,1,売上,14,混合廃棄物,130,130,3,kg,45,"5,850",46700,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),781,前田道路北関東支店,1,売上,30,選別,340,340,3,kg,70,"23,800",46706,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),428,ﾋﾗｶﾜ,1,売上,109,運搬費(ｺﾝﾃﾅ),,1,7,台,"49,000","49,000",46679,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),428,ﾋﾗｶﾜ,1,売上,1,混合廃棄物A,60,60,3,kg,65,"3,900",46679,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),351,那須野興業,1,売上,1,混合廃棄物A,290,290,3,kg,65,"18,850",46681,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),26,ｼｰﾒﾝｽﾍﾙｽｹｱ,1,売上,1,混合廃棄物A,"1,190","1,190",3,kg,60,"71,400",46621,6.0,F（他）
