業者CD,業者名,品名,手数料,運搬社数
339,西部サービス,,,1
705,北陸環境サービス,,1,1
1185,築館クリーンセンター,,,3
6421,アクトリー,,,2
8074,FDS,,,1
8080,ﾃﾞｲ・ｼｲ,,,1
8082,グランマ,,,1
8085,松岡環境開発,,1,1
8215,杉田建材,,,2
8327,丸源企業（ S ）,混合廃棄物(S),1,7
8327,丸源企業（ C ）,混合廃棄物(C),1,7
8327,丸源企業（ B ）,混合廃棄物(B),1,7
8327,丸源企業（ A ）,混合廃棄物(A),1,7
8329,カムテックス,,,1
8334,アルファフォルム,,,1
8336,新潟環境開発,,,2
8337,丸幸,,,2
8679,市原ニューエナジー,,,1
